ID,"Individual ID (Name, Catlogue #)",Age,Genetic Sex,Body length (cm),Body length (m),Tag Duration,Tagging Latitude ,Tagging Longitude
rw42_240710,Tally #4612,8,Female,1239,12.39,0:47:56,47.76,-64.23
rw44_240713,  2022 Calf of #2753,2,Male,1048,10.48,5:13:22,47.78,-64.18
rw45_240707,  #4903,5,Male,1167,11.67,10:54:36,47.79,-64.19
rw3_240712,Avalanche #4440,10,Male,1272,12.72,2:48:03,,
rw42_240706,  #1419,5,Male,1167,11.67,21:03:25,47.78,-64.19
rw42_240713,Manta #1507,39,Male,"1,362 *",13.62,22:48:30,47.76,-64.30
rw43_240706,Nimbus #3812,40,Male,"1,362 *",13.62,7:03:10,47.78,-64.20
rw43_240708,War #1812,36,Female,1362,13.62,32:54:25,47.78,-64.20
rw43_240715,Warrior #3942,15,Female,1322,13.22,13:00:38,47.80,-64.22
rw44_240707,  2023 Calf of #2605,1,Female,973 *,9.74,11:38:10,47.76,-64.31
rw44_240710,  #5245,2,Male,1048,10.48,2:06:30,47.79,-64.21
rw45_240708,Scrimshaw #3333,21,Male,1348,13.48,0:29:16,47.78,-64.18
rw45_240712, # 4991,5,Female,1167,11.67,14:29:05,47.98,-64.18
rw45_240715,Sebastian #4650,8,Male,1239,12.39,38:02:10,47.81,-64.20
rw69_240706,Salem #3617,18,Male,1338,13.38,4:27:50,47.78,-64.16
rw69_240708,Smoke #2605,28,Female,"1,360",14,2:11:56,47.78,-64.21
rw69_240709,Dune #3351,21,Male,1348,13.48,13:05:51,47.78,-64.19
rw69_240711,Peregrine #1628,38,NA,"1,362 *",13.62,9:51:25,47.77,-64.20
rw84_240708,  2022 Calf Of #3157,2,Male,1048,10.48,6:21:52,47.76,-64.31
rw20230714-48,Wishbone #4640,1,Female,975*,9.74,2:10:45,46.67,-64.00
rw20230718-46,Squilla #3720,16,Female,1328,13.28,1:03:26,46.67,-63.96
rw20230718-47,Bocce #3860,15,Female,1322,13.22,10:59:22,47.69,-63.97
rw20230718-48,  #5015,3,Male,1093,10.93,7:09:39,47.66,-63.97
